feature_name,importance
hospital_type,0.2917795684724827
road_accidents,0.2593301823090376
emergency_cases,0.25702734332847854
season,0.1384393023212999
scheduled_surgeries,0.08223567895631426
dengue_cases_weekly,0.0807737162680241
city_region,0.024572592551203698
temperature_c,0.00952665153380472
holiday,0.005771969402315303
rainfall_mm,0.0038525014260926806
month,0.0032348266522349346
blood_donation_camp,0.0008997146050650828
day_of_week,0.0007668685285553867
hospital_id,0.0004784532055523316
blood_type,2.7993081375399242e-05
