feature_name,importance
hospital_type,0.29893601617133275
road_accidents,0.25537425088874033
emergency_cases,0.2508118915553182
season,0.14905912517852846
dengue_cases_weekly,0.08819405325090075
scheduled_surgeries,0.08076670006929183
city_region,0.023167044903241507
temperature_c,0.01104347679960418
holiday,0.006766053912974623
rainfall_mm,0.0020863293224736125
month,0.0013195612490729315
hospital_id,0.0010825427697314538
day_of_week,0.00037281428031594733
blood_type,-2.1358028178819488e-05
blood_donation_camp,-0.000172567804537338
